"id","card_id","card_name","card_image","set_name","set_id","rarity","card_number","card_type","game_text","flavor_text","twilight","strength","vitality","kind","resistance","culture","home_site","created_at","subtype","type"
"3198","7R2T","•The One Ring, Such A Weight To Carry","https://lotrtcgwiki.com/wiki/_media/cards:lotr07002t.jpg","7","7","R","1","The One Ring","Maneuver Add a burden to wear The One Ring until the regroup phase . While wearing The One Ring , each time the Ringbearer is about to take a wound , add a burden instead.","","null","2","null","","null","","","2025-03-13 13:21:28.490067","null","The One Ring"
"5099","18U61","Corsair Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr18061.jpg","18","18","U","61","Possession    Rangedweapon","Bearer must be a Men minion . Bearer is an archer . Each time a companion is killed during the archery phase , you may control a site.","","2","1","null","Shadow","null","Men","","2025-03-13 13:37:37.083044","Ranged Weapon","Possession"
"2010","1R90","•Aragorn's Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr01090.jpg","1","1","R","90","Possession    Rangedweapon","Bearer must be Aragorn. He is an archer . Archery Exert Aragorn to wound a minion  Aragorn does not add to the fellowship archery total.","Rangers learn the bow as well as the blade.","1","null","null","Free People","null","Gondor","","2025-03-13 13:13:22.529734","Ranged Weapon","Possession"
"3936","11U58","Bow of Minas Tirith","https://lotrtcgwiki.com/wiki/_media/cards:lotr11058.jpg","11","11","U","58","Possession    Rangedweapon","Bearer must be a Gondor Man. At the start of the archery phase , if bearer is at a battleground site, you may exert him or her to make the fellowship archery total 1.","","1","1","null","Free People","null","Gondor","","2025-03-13 13:26:52.274124","Ranged Weapon","Possession"
"4070","11U191","Isengard Siege Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr11191.jpg","11","11","U","191","Possession    Rangedweapon","Bearer must be an Urukhai minion . While bearer is at a battleground site, it is an archer .","","1","null","1","Shadow","null","Urukhai","","2025-03-13 13:28:11.82803","Ranged Weapon","Possession"
"2685","4C131","Ranger's Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr04131.jpg","4","4","C","131","Possession    Rangedweapon","Bearer must be Ringbound Man. Skirmish If bearer is skirmishing a Man or a roaming minion , exert bearer to wound that minion .","Two had great bows, almost of their own height, and great quivers of long greenfeathered arrows.","1","null","null","Free People","null","Gondor","","2025-03-13 13:17:30.020749","Ranged Weapon","Possession"
"1949","1R33","•Bow of the Galadhrim","https://lotrtcgwiki.com/wiki/_media/cards:lotr01033.jpg","1","1","R","33","Possession    Rangedweapon","Bearer must be Legolas. Each time Legolas wins a skirmish , you may wound a minion .","To Legolas she gave a bow such as the Galadhrim used, longer and stouter than the bows of Mirkwood, and strung with a string of elfhair.","1","1","null","Free People","null","Elven","","2025-03-13 13:12:58.632937","Ranged Weapon","Possession"
"3019","5C88","Rohirrim Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr05088.jpg","5","5","C","88","Possession    Rangedweapon","Bearer must be a Rohan Man. Archery Exert bearer and discard this possession to wound a minion .","'The Rohirrim have good bowmen after their fashion, but there are too few here, too few.'","1","1","null","Free People","null","Rohan","","2025-03-13 13:20:07.643816","Ranged Weapon","Possession"
"3623","8C52","Corsair Ballista","https://lotrtcgwiki.com/wiki/_media/cards:lotr08052.jpg","8","8","C","52","Possession    Rangedweapon","Bearer must be a corsair . While you have initiative, bearer is an archer and fierce .","","0","2","null","Shadow","null","Raider","","2025-03-13 13:24:20.471152","Ranged Weapon","Possession"
"1957","1C41","Elven Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr01041.jpg","1","1","C","41","Possession    Rangedweapon","Bearer must be an Elf. Bearer is an archer .","'We live now upon an island amid many perils, and our hands are more often upon the bowstring than upon the harp.'","1","null","null","Free People","null","Elven","","2025-03-13 13:13:01.16108","Ranged Weapon","Possession"
"5042","18R4","•Arwen's Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr18004.jpg","18","18","R","4","Possession    Rangedweapon","Bearer must be an Elven companion . Archery If bearer is Arwen, discard 2 Elven cards from hand to wound a minion .","","2","1","null","Free People","null","Elven","","2025-03-13 13:37:07.391813","Ranged Weapon","Possession"
"4690","15R56","•Aragorn's Bow, Ranger's Longbow","https://lotrtcgwiki.com/wiki/_media/cards:lotr15056.jpg","15","15","R","56","Possession    Rangedweapon","Bearer must be Aragorn. He is an archer . Archery Add a threat to wound a minion strength .","","1","null","null","Free People","null","Gondor","","2025-03-13 13:33:53.029314","Ranged Weapon","Possession"
"5179","18RF1","•Arwen's Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr18f01.jpg","18","18","RF","1","Possession    Rangedweapon","Bearer must be an Elven companion . Archery If bearer is Arwen, discard 2 Elven cards from hand to wound a minion .","","2","1","null","Free People","null","Elven","","2025-03-13 13:38:23.258591","Ranged Weapon","Possession"
"3352","7C155","Raider Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr07155.jpg","7","7","C","155","Possession    Rangedweapon","Bearer must be a Raider Man. Bearer is an archer and ambush 5 .","","2","null","null","Shadow","null","Raider","","2025-03-13 13:22:29.489528","Ranged Weapon","Possession"
"2612","4U62","Elven Bow","https://lotrtcgwiki.com/wiki/_media/cards:lotr04062.jpg","4","4","U","62","Possession    Rangedweapon","Bearer must be an Elf. Bearer is an archer .","No finer bows could defendHelm's Deep than those of the Golden Wood.","1","null","null","Free People","null","Elven","","2025-03-13 13:17:04.496375","Ranged Weapon","Possession"
"1779","0P36","•Whip of Many Thongs","https://lotrtcgwiki.com/wiki/_media/cards:lotr00036.jpg","0","0","P","36","Artifacthand Weapon","Bearer must be The Balrog . Skirmish Exert The Balrog to discard a helm , shield , or armor borne by a character The Balrog is skirmishing.","","1","1","null","Shadow","null","Moria","","2025-03-13 13:11:58.080878","Hand Weapon","Artifact"
"1785","0P42","•The Balrog's Sword","https://lotrtcgwiki.com/wiki/_media/cards:lotr00042.jpg","0","0","P","42","Artifacthand Weapon","Bearer must be The Balrog . It is damage 1 . This weapon may be borne in addition to 1 other hand weapon .","","1","3","null","Shadow","null","Moria","","2025-03-13 13:11:59.954738","Hand Weapon","Artifact"
"3729","9R+34","•Narsil, Blade of the Faithful","https://lotrtcgwiki.com/wiki/_media/cards:lotr09034.jpg","9","9","R","34","Artifacthand Weapon","Bearer must be a Gondor Man. If bearer is Elendil or Isildur, he is strength 1 for each Gondor artifact you can spot limit 6. Response If bearer is about to take a wound , exert 2 Gondor Men to prevent that.","","2","null","1","Free People","null","Gondor","","2025-03-13 13:25:03.669346","Hand Weapon","Artifact"
"4249","12R80","•Whip of Many Thongs, Weapon of Flame and Shadow","https://lotrtcgwiki.com/wiki/_media/cards:lotr12080.jpg","12","12","R","80","Artifacthand Weapon","Bearer must be The Balrog . It is fierce . When you play this artifact , the Free Peoples player reveals his or her hand and discards all Free Peoples cards from hand that have a twilight cost of 1 or less.","","1","1","null","Shadow","null","Moria","","2025-03-13 13:29:50.545939","Hand Weapon","Artifact"
"4894","17R31","•Narsil, Forged by Telchar","https://lotrtcgwiki.com/wiki/_media/cards:lotr17031.jpg","17","17","R","31","Artifacthand Weapon","Bearer must be Elendil or Isildur. Bearer is damage 1 . Each time bearer wins a skirmish , you may exert him to discard a Shadow possession .","","3","3","null","Free People","null","Gondor","","2025-03-13 13:35:45.597065","Hand Weapon","Artifact"
"4057","11S178","Bloodthirsty Uruk","https://lotrtcgwiki.com/wiki/_media/cards:lotr11178.jpg","11","11","S","178","Minion Urukhai","Damage 1 . While you can spot an exhausted companion , this minion is strength 3.","","3","8","2","Shadow","null","Urukhai","","2025-03-13 13:28:03.947168","Urukhai","Minion"
"4060","11R181","Determined Uruk","https://lotrtcgwiki.com/wiki/_media/cards:lotr11181.jpg","11","11","R","181","Minion Urukhai","To play, spot a Urukhai minion . Each time a companion exerts , you may draw a card.","","2","7","2","Shadow","null","Urukhai","","2025-03-13 13:28:06.002419","Urukhai","Minion"
"4062","11S183","Feral Uruk","https://lotrtcgwiki.com/wiki/_media/cards:lotr11183.jpg","11","11","S","183","Minion Urukhai","While this minion is at a battleground site, it is strength 1 and damage 1 .","","3","9","2","Shadow","null","Urukhai","","2025-03-13 13:28:06.666655","Urukhai","Minion"
"4063","11R184","Force of Uruk-hai","https://lotrtcgwiki.com/wiki/_media/cards:lotr11184.jpg","11","11","R","184","Minion Urukhai","Damage 1 . Each time this minion is about to take a wound at a battleground site, you may spot another Urukhai card to make the Free Peoples player draw a card instead.","","5","13","3","Shadow","null","Urukhai","","2025-03-13 13:28:07.936038","Urukhai","Minion"
"4064","11U185","•Fortitude","https://lotrtcgwiki.com/wiki/_media/cards:lotr11185.jpg","11","11","U","185","Condition   Support Area","When you play this condition , spot an Urukhai minion to add 3 Urukhai tokens here. Response If an Urukhai minion is about to take a wound , discard this condition or remove an Urukhai token from here to prevent that.","","4","null","null","Shadow","null","Urukhai","","2025-03-13 13:28:08.758635","Support Area","Condition"
"4065","11R186","Furious Uruk","https://lotrtcgwiki.com/wiki/_media/cards:lotr11186.jpg","11","11","R","186","Minion Urukhai","Damage 1 . While this minion is assigned to a skirmish , each companion and Free Peoples possession loses its special abilities.","","3","9","2","Shadow","null","Urukhai","","2025-03-13 13:28:09.309946","Urukhai","Minion"
"5229","19P24","Brought Down From Inside","https://lotrtcgwiki.com/wiki/_media/cards:lotr19024.jpg","19","19","P","24","Condition   ","Bearer must be a Rohan Man. At the start of each skirmish you may transfer this condition to a Rohan Man. At the end of each turn, if bearer did not win a skirmish this turn, return this condition to hand.","","2","1","null","Free People","null","Rohan","","2025-03-13 13:38:49.172086","","Condition"
"4536","13R141","•Sceptre of the Dark Lord","https://lotrtcgwiki.com/wiki/_media/cards:lotr13141.jpg","13","13","R","141","Artifacthand Weapon","Bearer must be Sauron. He is damage 1 . Each time Sauron wins a skirmish and the companion he is skirmishing is not killed, you may assign X wounds to other companions , where X is the current region number.","","0","2","1","Shadow","null","Sauron","","2025-03-13 13:32:30.146096","Hand Weapon","Artifact"
"3275","7R79","•Anduril, Flame of the West","https://lotrtcgwiki.com/wiki/_media/cards:lotr07079.jpg","7","7","R","79","Artifacthand Weapon","Bearer must be Aragorn. Discard any other weapon he bears. He is damage 1 and cannot bear other weapons. Fellowship or Regroup If the fellowship is at any site 2 or any site 5, play the fellowship 's next site replacing opponent's site if necessary.","","3","2","1","Free People","null","Gondor","","2025-03-13 13:21:59.980521","Hand Weapon","Artifact"
"3276","7R79T","•Anduril, Flame of the West","https://lotrtcgwiki.com/wiki/_media/cards:lotr07079t.jpg","7","7","R","1","Artifacthand Weapon","Bearer must be Aragorn. Discard other weapons he bears. He is damage 1 and cannot bear other weapons. Fellowship or Regroup If the fellowship is at any site 2 or any site 5, play the fellowship 's next site replacing opponent's site if necessary.","","3","2","1","Free People","null","Gondor","","2025-03-13 13:22:00.422755","Hand Weapon","Artifact"
"3277","7R80","•Anduril, King's Blade","https://lotrtcgwiki.com/wiki/_media/cards:lotr07080.jpg","7","7","R","80","Artifacthand Weapon","Bearer must be Aragorn. If you cannot spot a threat , Aragorn is defender 1 .","","3","2","null","Free People","null","Gondor","","2025-03-13 13:22:00.751865","Hand Weapon","Artifact"
"4061","11U182","Devastation","https://lotrtcgwiki.com/wiki/_media/cards:lotr11182.jpg","11","11","U","182","Event Response","If your Urukhai minion wins a skirmish , discard a condition from play.","","1","null","null","Shadow","null","Urukhai","","2025-03-13 13:28:06.31573","Response","Event"
"4066","11S187","Furor","https://lotrtcgwiki.com/wiki/_media/cards:lotr11187.jpg","11","11","S","187","Event Skirmish","Make an Urukhai minion strength 2 or 3 if you can spot an exhausted companion .","","1","null","null","Shadow","null","Urukhai","","2025-03-13 13:28:09.878947","Skirmish","Event"
"2438","3C14","•Erestor, Chief Advisor to Elrond","https://lotrtcgwiki.com/wiki/_media/cards:lotr03014.jpg","3","3","C","14","Ally   Home 3 Elf","To play, spot an Elf. Response If an Elf is about to take a wound from a Sauron minion or Sauron event , exert Erestor to prevent that wound .","'Then there are but two courses to hide theRingfor ever, or to unmake it.'","2","5","2","Free People","null","Elven","","2025-03-13 13:16:02.83145","Home 3 Elf","Ally"
"5072","18R34","•Shelob, Menace","https://lotrtcgwiki.com/wiki/_media/cards:lotr18034.jpg","18","18","R","34","Minion Spider","Fierce . Each time Shelob wins a skirmish , you may add threats up to the number of burdens you can spot. Each time Shelob wins a skirmish , you may play Gollum from your discard pile  he is strength 3 and fierce until the end of turn.","","6","8","8","Shadow","null","Gollum","","2025-03-13 13:37:21.192467","Spider","Minion"
"3077","6U14","Banner of Elbereth","https://lotrtcgwiki.com/wiki/_media/cards:lotr06014.jpg","6","6","U","14","Possession    Hand Weapon","Bearer must be an Elf companion . Each time bearer wins a skirmish , you may draw a card. Response If bearer wins a skirmish , discard this possession to liberate a site.","'First name the four, the free peoples  Eldest of all, the elfchildren'","1","null","null","Free People","null","Elven","","2025-03-13 13:20:29.357784","Hand Weapon","Possession"
"3078","6R15","•Elrond, Keeper of Vilya","https://lotrtcgwiki.com/wiki/_media/cards:lotr06015.jpg","6","6","R","15","Ally   Home 3 Elf","At the start of each turn, heal Elrond. Fellowship Exert Elrond to discard the top card of your draw deck . If it is an Elven card, you may take it into hand and heal an Elf companion .","'You have foreseen it. War is coming many will die.'","4","8","4","Free People","null","Elven","","2025-03-13 13:20:30.006313","Home 3 Elf","Ally"
"3080","6C17","Forewarned","https://lotrtcgwiki.com/wiki/_media/cards:lotr06017.jpg","6","6","C","17","Condition   ","To play, spot 2 Elves. Plays to your support area . Fellowship Add 1 to look at the top card of your draw deck . You may discard this condition to discard that card.","'Whether by the sword or the slow decay of time, Aragorn will die.'","0","null","null","Free People","null","Elven","","2025-03-13 13:20:30.829515","","Condition"
"2015","1R95","•Blade of Gondor","https://lotrtcgwiki.com/wiki/_media/cards:lotr01095.jpg","1","1","R","95","Possession    Hand Weapon","Bearer must be Boromir. He is damage 1 . Skirmish Exert Boromir to wound an Orc or Urukhai he is skirmishing.","With the valour of Boromir's mighty longsword, the Enemies of the West are kept at bay.","1","2","null","Free People","null","Gondor","","2025-03-13 13:13:24.310455","Hand Weapon","Possession"
"4010","11C131","Orc Miscreant","https://lotrtcgwiki.com/wiki/_media/cards:lotr11131.jpg","11","11","C","131","Minion Orc","To play, spot an Orc minion . Regroup Exert this minion to add a burden .","","3","7","3","Shadow","null","Orc","","2025-03-13 13:27:38.470911","Orc","Minion"
"1928","1R14","•Gimli's Battle Axe","https://lotrtcgwiki.com/wiki/_media/cards:lotr01014.jpg","1","1","R","14","Possession    Hand Weapon","Bearer must be Gimli. He is damage 1 . Each time Gimli wins a skirmish , you may wound an Orc.","Beside them Gimli stood with his stout legs apart, wielding his dwarfaxe.","2","2","null","Free People","null","Dwarven","","2025-03-13 13:12:48.801677","Hand Weapon","Possession"
"5018","17RF7","•Narsil, Forged by Telchar","https://lotrtcgwiki.com/wiki/_media/cards:lotr17f07.jpg","17","17","RF","7","Artifacthand Weapon","c","","3","3","null","Free People","null","Gondor","","2025-03-13 13:36:54.170012","Hand Weapon","Artifact"
"2827","4U268","•Eomer's Spear","https://lotrtcgwiki.com/wiki/_media/cards:lotr04268.jpg","4","4","U","268","Possession    Hand Weapon","Bearer must be a Rohan Man. If bearer is Eomer and he is mounted, Eomer is damage 2 .","He advanced until the point of his spear was within a foot of Aragorn's breast.","1","2","null","Free People","null","Rohan","","2025-03-13 13:18:57.43464","Hand Weapon","Possession"
"5084","18U46","Disarmed","https://lotrtcgwiki.com/wiki/_media/cards:lotr18046.jpg","18","18","U","46","Condition   Support Area","Bearer cannot bear any Shadow cards. When this condition is transferred to bearer, discard all Shadow cards it bears. Maneuver Exert a Gondor Man or spot a ranger to transfer this condition from your support area to minion .","","2","1","null","Free People","null","Gondor","","2025-03-13 13:37:28.382985","Support Area","Condition"
"5088","18R50","The Faithful Stone","https://lotrtcgwiki.com/wiki/_media/cards:lotr18050.jpg","18","18","R","50","Condition   Support Area","Tale . Each time a non Wraith minion is played, you may spot a Man to put a Gondor token here. Maneuver Remove 3 Gondor tokens from here to spot a minion . That minion cannot be assigned to a skirmish until the regroup phase . Any Shadow player may remove 2 to prevent this.","","3","null","null","Free People","null","Gondor","","2025-03-13 13:37:30.67577","Support Area","Condition"
"5093","18R55","•Ranger of the North","https://lotrtcgwiki.com/wiki/_media/cards:lotr18055.jpg","18","18","R","55","Condition   ","Bearer must be a Gondor Man. Maneuver If the fellowship is in region 1 or region 2, you may exert bearer to make him or her defender 1 until the regroup phase . Regroup Discard this to heal a companion .","","0","null","null","Free People","null","Gondor","","2025-03-13 13:37:33.459384","","Condition"
"5096","18U58","Soldier's Cache","https://lotrtcgwiki.com/wiki/_media/cards:lotr18058.jpg","18","18","U","58","Condition   Support Area","Fortification . At the start of your maneuver phase , you may spot 3 rangers or exert a Gondor Man to transfer this condition to a minion . Wound that minion . Regroup Exert a ranger to reinforce a Gondor token.","","2","null","null","Free People","null","Gondor","","2025-03-13 13:37:35.021112","Support Area","Condition"
"1922","1C9","Dwarven Axe","https://lotrtcgwiki.com/wiki/_media/cards:lotr01009.jpg","1","1","C","9","Possession    Hand Weapon","Bearer must be a Dwarf. Each time a player's minion loses a skirmish to bearer, that player discards the top card from his draw deck .","'Buckler and corslet, axe and sword  And shining spears were laid in hoard.'","0","2","null","Free People","null","Dwarven","","2025-03-13 13:12:46.948253","Hand Weapon","Possession"
"1997","1R79","The Nine Walkers","https://lotrtcgwiki.com/wiki/_media/cards:lotr01079.jpg","1","1","R","79","Condition   ","To play, spot Gandalf. Plays to your support area . Each time you play a companion whose race you cannot spot, that companion 's twilight cost is 2.","'Ninecompanionsto match the Nine Ringwraiths  So be it.'","1","null","null","Free People","null","Gandalf","","2025-03-13 13:13:17.670963","","Condition"
"4681","15R47","Not This Time!","https://lotrtcgwiki.com/wiki/_media/cards:lotr15047.jpg","15","15","R","47","Condition   Support Area","Skirmish Exert Gollum and remove a threat to wound a companion Gollum is skirmishing.","","2","null","null","Shadow","null","Gollum","","2025-03-13 13:33:47.602381","Support Area","Condition"
"1932","1U17","•Grimir, Dwarven Elder","https://lotrtcgwiki.com/wiki/_media/cards:lotr01017.jpg","1","1","U","17","Ally   Home 3 Dwarf","Fellowship Exert Grimir to shuffle a Dwarven event from your discard pile into your draw deck .","Old and grey after many years spent inexilebefore the LonelyMountainwas reclaimed, Grimir can still wield his axe withstrength.","1","3","3","Free People","null","Dwarven","","2025-03-13 13:12:50.128644","Home 3 Dwarf","Ally"
"1998","1R80","•Ottar, Man of Laketown","https://lotrtcgwiki.com/wiki/_media/cards:lotr01080.jpg","1","1","R","80","Ally   Home 3 Man","To play, spot Gandalf. Fellowship Exert Ottar to discard up to 3 cards from hand and draw an equal number of cards.","The Men of Laketown come from the North, where they trade with the Dwarves of the LonelyMountain.","1","2","2","Free People","null","Gandalf","","2025-03-13 13:13:18.299564","Home 3 Man","Ally"
"2453","3R29","Betrayal of Isengard","https://lotrtcgwiki.com/wiki/_media/cards:lotr03029.jpg","3","3","R","29","Condition   ","Plays to your support area . Each time an opponent draws a card or takes a card into hand during the Shadow phase , you may remove 1 . Maneuver Exert Gandalf to wound Saruman twice.","'There is only one Lord of theRing.'","1","null","null","Free People","null","Gandalf","","2025-03-13 13:16:08.287713","","Condition"
"2011","1U91","•Aragorn's Pipe","https://lotrtcgwiki.com/wiki/_media/cards:lotr01091.jpg","1","1","U","91","Possession    Pipe","Bearer must be a Gondor companion . Fellowship Discard a pipeweed possession and spot X pipes to heal X companions .","He had a tall tankard in front of him, and was smoking alongstemmed pipecuriously carved.","1","null","null","Free People","null","Gondor","","2025-03-13 13:13:23.005661","Pipe","Possession"
"2012","1C92","Armor","https://lotrtcgwiki.com/wiki/_media/cards:lotr01092.jpg","1","1","C","92","Possession    Armor","Bearer must be a Man. Bearer takes no more than 1 wound during each skirmish phase .","ThenElendil the Tall.","1","null","null","Free People","null","Gondor","","2025-03-13 13:13:23.335561","Armor","Possession"
"2014","1U94","Athelas","https://lotrtcgwiki.com/wiki/_media/cards:lotr01094.jpg","1","1","U","94","Possession    ","Bearer must be a Gondor Man. Fellowship Discard this possession to heal a companion or to remove a Shadow condition from a companion .","The hands of the king are the hands of a healer, and so shall the true king be known.","1","null","null","Free People","null","Gondor","","2025-03-13 13:13:23.984884","","Possession"
"3880","11C5","Dwarven Embassy","https://lotrtcgwiki.com/wiki/_media/cards:lotr11005.jpg","11","11","C","5","Condition   Support Area","To play, spot a Dwarf. Each companion is damage 1 . Discard this condition at the end of your turn.","","0","null","null","Free People","null","Dwarven","","2025-03-13 13:26:15.705513","Support Area","Condition"
"3867","10U116","•The Tale of the Great Ring","https://lotrtcgwiki.com/wiki/_media/cards:lotr10116.jpg","10","10","U","116","Condition   Support Area","Tale . Skirmish Prevent a Hobbit from being overwhelmed unless a Shadow event is or was played during this skirmish . Discard this condition .","","0","null","null","Free People","null","Shire","","2025-03-13 13:26:05.575541","Support Area","Condition"
"3884","11R9","•Gimli's Battle Axe, Vicious Weapon","https://lotrtcgwiki.com/wiki/_media/cards:lotr11009.jpg","11","11","R","9","Possession    Hand Weapon","Bearer must be a Dwarf. Bearer gains muster . At the start of the regroup phase , you may discard a card from hand to draw a card. Skirmish If bearer is Gimli and he is at a battleground site, exert him to wound a minion he is skirmishing.","","2","2","null","Free People","null","Dwarven","","2025-03-13 13:26:21.337929","Hand Weapon","Possession"
"2268","1U341","Rivendell Valley","https://lotrtcgwiki.com/wiki/_media/cards:lotr01341.jpg","1","1","U","341","Site","Sanctuary . Fellowship Play an Elf to draw a card.","","0","null","null","","null","","","2025-03-13 13:14:58.518061","null","Site"
"4148","11RF2","Elven Marksmanship","https://lotrtcgwiki.com/wiki/_media/cards:lotr11f02.jpg","11","11","RF","2","Condition   Support Area","To play, spot an Elf. Toil 2 . For each Elven character you exert when playing this, its twilight cost is 2. Archery Discard this condition to make the fellowship archery total 2.","","6","null","null","Free People","null","Elven","","2025-03-13 13:28:55.306763","Support Area","Condition"
"4151","11RF5","•Gollum, Skulker","https://lotrtcgwiki.com/wiki/_media/cards:lotr11f05.jpg","11","11","RF","5","Minion","Lurker . Skirmishes involving lurker minions must be resolved after any others. Skirmish Exert Gollum twice to make another minion strength 2.","","2","5","4","Shadow","null","Gollum","","2025-03-13 13:28:57.492803","","Minion"
"3886","11R11","•Hall of Our Fathers","https://lotrtcgwiki.com/wiki/_media/cards:lotr11011.jpg","11","11","R","11","Condition   Support Area","When you play this condition , stack the top 8 cards of your draw deck here. At the start of your maneuver phase , you may spot a Dwarf to exchange the cards stacked here with your hand.","","2","null","null","Free People","null","Dwarven","","2025-03-13 13:26:22.865923","Support Area","Condition"
"3891","11U16","Blade of Lindon","https://lotrtcgwiki.com/wiki/_media/cards:lotr11016.jpg","11","11","U","16","Possession    Hand Weapon","Bearer must be an Elf. While bearer is at a forest or river site, each minion he or she is skirmishing is strength 1.","","1","1","null","Free People","null","Elven","","2025-03-13 13:26:26.048966","Hand Weapon","Possession"
"3892","11R17","Elven Marksmanship","https://lotrtcgwiki.com/wiki/_media/cards:lotr11017.jpg","11","11","R","17","Condition   Support Area","To play, spot an Elf. Toil 2 . For each Elven character you exert when playing this, its twilight cost is 2. Archery Discard this condition to make the fellowship archery total 2.","","6","null","null","Free People","null","Elven","","2025-03-13 13:26:26.4275","Support Area","Condition"
"2476","3R52","A Fell Voice on the Air","https://lotrtcgwiki.com/wiki/_media/cards:lotr03052.jpg","3","3","R","52","Condition   ","Plays to your support area . Shadow Exert Saruman to play an Isengard weather condition from your discard pile . Its twilight cost is 2.","'He's trying to bring down themountain!'","1","null","null","Shadow","null","Isengard","","2025-03-13 13:16:15.722186","","Condition"
"2478","3R54","Hollowing of Isengard","https://lotrtcgwiki.com/wiki/_media/cards:lotr03054.jpg","3","3","R","54","Condition   ","To play, spot an Isengard Orc. Plays to your support area . Shadow Discard this condition to add 3 .","'Rip them all down!'","4","null","null","Shadow","null","Isengard","","2025-03-13 13:16:16.328999","","Condition"
